# ASTM E-490 AM0 Standard Spectra	
# Wavelength (micron)	W*m^{-2}*nm^{-1}
3.98	0.008857
4	0.008669
4.02	0.008557
4.04	0.008385
4.06	0.008217
4.08	0.008054
4.1	0.007894
4.12	0.007739
4.14	0.007587
4.16	0.007439
4.18	0.007294
4.2	0.007153
4.22	0.007015
4.24	0.006881
4.26	0.006749
4.28	0.006621
4.3	0.006496
4.32	0.006374
4.34	0.006254
4.36	0.006138
4.38	0.006024
4.4	0.005913
4.42	0.005804
4.44	0.005698
4.46	0.005594
4.48	0.005492
4.5	0.005393
4.52	0.005296
4.54	0.005201
4.56	0.005108
4.58	0.005018
4.6	0.004929
4.62	0.004842
4.64	0.004757
4.66	0.004674
4.68	0.004593
4.7	0.004514
4.72	0.004436
4.74	0.00436
4.76	0.004285
4.78	0.004212
4.8	0.004141
4.82	0.004071
4.84	0.004003
4.86	0.003936
4.88	0.00387
4.9	0.003806
4.92	0.003743
4.94	0.003681
4.96	0.003621
4.98	0.003562
5	0.003504
5.05	0.003394
5.1	0.003267
5.15	0.003146
5.2	0.00303
5.25	0.00292
5.3	0.002815
5.35	0.002715
5.4	0.002619
5.45	0.002527
5.5	0.002439
5.55	0.002355
5.6	0.002275
5.65	0.002198
5.7	0.002124
5.75	0.002054
5.8	0.001986
5.85	0.001921
5.9	0.001859
5.95	0.001799
6	0.001742
6.05	0.001687
6.1	0.001634
6.15	0.001583
6.2	0.001534
6.25	0.001487
6.3	0.001442
6.35	0.001399
6.4	0.001357
6.45	0.001317
6.5	0.001278
6.55	0.00124
6.6	0.001204
6.65	0.00117
6.7	0.001136
6.75	0.001104
6.8	0.001073
6.85	0.001043
6.9	0.001014
6.95	0.0009862
7	0.0009592
